"Afrikaans","Afrikaans"
"Albanian","Albanian"
"Allow Specific Languages","Allow Specific Languages"
"Allowed Languages","Allowed Languages"
"Analytics Web Property ID","Analytics Web Property ID"
"Arabic","Arabic"
"Azerbaijani","Azerbaijani"
"Basque","Basque"
"Belarusian","Belarusian"
"Bengali","Bengali"
"Bulgarian","Bulgarian"
"Catalan","Catalan"
"Chinese (Simplified)","Chinese (Simplified)"
"Chinese (Traditional)","Chinese (Traditional)"
"Code","Code"
"Croatian","Croatian"
"Czech","Czech"
"Danish","Danish"
"Display Type","Display Type"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Enter the value of google-translate-customization tag.","Enter the value of google-translate-customization tag."
"Esperanto","Esperanto"
"Estonian","Estonian"
"Filipino","Filipino"
"Finnish","Finnish"
"French","French"
"Galician","Galician"
"Georgian","Georgian"
"German","German"
"Greek","Greek"
"Gujarati","Gujarati"
"Haitian Creole","Haitian Creole"
"Hebrew","Hebrew"
"Hindi","Hindi"
"Hungarian","Hungarian"
"Icelandic","Icelandic"
"Indonesian","Indonesian"
"Irish","Irish"
"Is Page Multilanguage?","Is Page Multilanguage?"
"Italian","Italian"
"Japanese","Japanese"
"Kannada","Kannada"
"Korean","Korean"
"Latin","Latin"
"Latvian","Latvian"
"Lithuanian","Lithuanian"
"Macedonian","Macedonian"
"Malay","Malay"
"Maltese","Maltese"
"Norweigan","Norweigan"
"Page Language","Page Language"
"Persian","Persian"
"Polish","Polish"
"Portuguese","Portuguese"
"Romanian","Romanian"
"Russian","Russian"
"Serbian","Serbian"
"Settings","Settings"
"Slovak","Slovak"
"Slovenian","Slovenian"
"Spanish","Spanish"
"Swahili","Swahili"
"Swedish","Swedish"
"Tamil","Tamil"
"Telugu","Telugu"
"Thai","Thai"
"Track Translation Traffic","Track Translation Traffic"
"Turkish","Turkish"
"Ukrainian","Ukrainian"
"Urdu","Urdu"
"Vietnamese","Vietnamese"
"Welsh","Welsh"
"Yiddish","Yiddish"
